,crypto_Ethereum_cumret_1d,crypto_Ethereum_skewness_5d,crypto_Ethereum_kurtosis_5d,crypto_Ethereum_cumret_5d,crypto_Ethereum_skewness_10d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_jump_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_jump_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_jump_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d,crypto_Ethereum_jump_60d,crypto_Solana_sign
2019-12-06,-0.000365564559218182,1.377992392583983,2.0400475557346525,-0.013258640769939913,0.8187878890399873,-0.9911316108013187,0.0015385734856842848,-1.1244177468863898,0.7001725845474883,-0.20613749968377404,0.1901149726153653,0.21916738606767086,0.0,0.25632996994131424,0.326427237873203,0.0,0.5162630689888459,0.4151865236540212,0.0,0.4857848997160155,0.49730001773461147,0.0,0
2019-12-07,-0.0028613327972497682,1.7035749881995281,3.0702685795244045,-0.0019541555989272437,1.2199527283192357,0.7119494622047142,-0.028117825330888684,-1.1029474658441252,0.7325625367095691,-0.21861100844827508,0.1618150813819779,0.1808905215405731,0.0,0.20886333890109687,0.29528655764779477,0.0,0.5117589569040394,0.3950249853950309,0.0,0.4855113571125911,0.48909695183646895,0.0,0
2019-12-08,0.016642338480464775,0.3339917954487744,-2.843936239019904,0.022113668753461314,0.6414662482243414,-1.0547767719789292,-0.002989288016530346,-1.236902903714685,0.9236028551556137,-0.17702947600526553,0.18451536488576276,0.20736927820860815,0.0,0.22704898133507048,0.29402588099484295,0.0,0.5179105409666018,0.38919565603260775,0.0,0.46915156270760955,0.4846884001260059,0.0,0
2019-12-09,-0.02029888262095022,-0.5330580752502818,-0.5975567456508225,0.010017493319693833,0.8223628520634079,-0.18161275718940978,-0.04665291128788364,-1.2179514895164407,0.8712263839209187,-0.17998759833770905,0.24629856471742564,0.2713405877124006,0.0,0.20428855953440336,0.29955421032499696,0.0,0.5186595440764877,0.379794834395546,0.0,0.47024802410490024,0.4790552512983402,0.0,0
2019-12-10,-0.013298543194468106,0.5672264503295383,0.28560571816490565,-0.020181984691421385,0.900082152633334,0.0027498969216048458,-0.04199079213896795,-1.1994856072472355,0.8332962179021841,-0.18333457849111434,0.22347587284298456,0.23651068522653573,0.0,0.1970035751874466,0.2792620271483089,0.0,0.5188770654648173,0.36384109308109963,0.0,0.461527041835211,0.4718622256797398,0.0,0
2019-12-11,-0.01834664268420005,1.3116751819880683,1.173978813542206,-0.03816306281640325,0.8602282548105641,-0.2733155439033713,-0.05142170358634335,-1.2053809359723544,1.6384927054042984,-0.11718692004077093,0.240665859523592,0.2162946119909763,0.0,0.20866901942104682,0.2674548264662532,0.0,0.4383960170624783,0.35182302601576726,0.0,0.4623527555220802,0.4657568980614999,0.0,0
2019-12-12,0.013803257471486554,0.5345424733467106,-3.1431453592449556,-0.02149847254766693,0.3400375127594113,-1.3473066594481098,-0.023452628146594354,-1.2833248596696991,3.134859530630293,-0.03153088455696666,0.2862429161152513,0.26985008230029167,0.0,0.22163594136558484,0.27732521017187567,0.0,0.36700199579632975,0.3482681795491344,0.0,0.463255180138356,0.4611437176467682,0.0,0
2019-12-13,-0.0045380137320135275,1.3250073448200437,1.3285036807271062,-0.04267882476014523,0.2747008366085101,-1.316245109912965,-0.0205651560066841,-1.2586535061589395,3.4319716507059925,-0.05681220412764285,0.22058173533833508,0.22102009536957676,0.0,0.22025242619702592,0.2509604124573138,0.0,0.3574570598279748,0.33126940420273243,0.0,0.45895836102253096,0.4535216431609155,0.0,0
2019-12-14,-0.014422869418133921,1.4911321155296624,2.002573077138815,-0.03680281155732893,0.33471393395114335,-1.4867820257679496,-0.026785318237635282,0.47663866393910803,-1.3506027149835749,0.00024172323683085625,0.20417477797093855,0.20362580211508924,0.0,0.22721581607571048,0.23751574243388549,0.0,0.25478294635455767,0.3186831389842208,0.0,0.4562876607566989,0.4469620237039208,0.0,0
2019-12-15,0.001718683045257581,0.4786879782479384,-0.7962434585268738,-0.021785585317603245,0.42598066774765625,-0.8394417629786446,-0.04196757000902481,0.5744421332862326,-1.0287108904862947,-0.023216789743158935,0.20449383535105076,0.1812470523446728,0.0,0.20196302754031575,0.2199216978322993,0.0,0.23704158321560176,0.30503519117342565,0.0,0.45313734263000394,0.43994357355836544,0.0,0
2019-12-16,-0.06869317207995979,-1.6776041215277158,3.164545131054934,-0.07213211471336298,-1.5651812090506667,3.750335225541755,-0.11029517752976642,-1.1647183610975325,3.8103342295050076,-0.1087566040440822,0.5082471061797056,0.5608716637523616,0.0,0.3791831716536506,0.4610960394300614,0.0,0.32790803488597353,0.42155796368276904,1.0,0.47129546527768457,0.4698904282120466,0.0,0
2019-12-17,-0.08599651471728312,-0.6216086828434396,-2.621128061245475,-0.17193188690213265,-1.201878074626377,0.7549316251697695,-0.19343035944979978,-1.6803930974049404,3.579352043828401,-0.22154818478068852,0.6366451682350079,0.6820423082055519,0.0,0.5290756777775526,0.6150408006483021,0.0,0.41398197596018377,0.5384880812508531,1.0,0.49826606514863775,0.5146900900454375,0.0,0
2019-12-18,0.08208332523038238,0.7362151819237821,0.15686063216236334,-0.08531054793973673,0.4585742557073724,1.8218618342752992,-0.1279893726998822,0.014524515160649915,3.325074835292643,-0.13097866071641256,1.0532116830543459,1.205622319808646,0.0,0.7209133630675224,0.9058878191142757,0.0,0.5300586422137489,0.7008607176392562,0.0,0.5298257921040656,0.5690449461307618,0.0,0
2019-12-19,-0.02874333216942749,0.9438888364444895,0.5087774351905132,-0.09963101069103031,0.5156713413699159,1.7561147634728727,-0.13643382224835945,0.21758312358584514,3.686813910282985,-0.18308673353624313,1.0558543813166694,1.0074589362839361,0.0,0.7246100330293546,0.829704242935604,0.0,0.5232844325970244,0.6736754993456788,0.0,0.530574071476353,0.5633410126520937,0.0,0
2019-12-20,-0.001974411021484844,1.0054506513145904,0.7771708417197422,-0.10332410475777273,0.4201787889650788,1.6051950790576472,-0.12510969007537617,0.1390017454853612,3.6923074179177076,-0.1671004822143442,1.051400906450327,0.8265698971505541,0.0,0.7269868819668897,0.7534046392742793,0.0,0.5227927677258987,0.6420524893397049,0.0,0.530602844130415,0.5542044316991558,0.0,0
2019-12-21,-0.007271534798612843,0.4965984398974409,1.6195504990086107,-0.04190246747642579,0.33055207164883416,1.559904491495325,-0.11403458218978896,0.13067596085532626,3.690135985776159,-0.1654562857761324,0.9611900510149775,0.6749613876189279,0.0,0.7266234158426084,0.6817714666698969,0.0,0.5228019564351797,0.6108135076462772,0.0,0.5302136279743584,0.5450457825707932,0.0,0
2019-12-22,0.032567219750779294,1.0261535672783637,0.5435279599264398,0.07666126699163661,0.24168069133153156,0.9093640099927792,-0.09527061991049623,-0.010673904954916016,2.8418171138499075,-0.11872324805709064,0.6876547845493043,0.6474355056443852,0.0,0.7505604059712809,0.6745813376593748,0.0,0.5417884275010721,0.614607405710597,0.0,0.5234269546340781,0.547614119832473,0.0,0
2019-12-23,-0.02880364475287924,1.0486616057410074,0.9225616348167259,-0.034225702991625,0.41849263156620664,0.8716224788831509,-0.11953625093136194,0.07594553984199252,2.581783899854092,-0.14010140693804612,0.39994204572571623,0.6014833690443763,0.0,0.7559098582287538,0.6340619136574561,0.0,0.54784833203049,0.5952487316243522,0.0,0.5259854895467806,0.5426662294896285,0.0,0
2019-12-24,0.0034911717596614925,0.4859495959606499,1.565721250075871,-0.0019911990625360193,0.27663168874156874,0.691538584913224,-0.10162220975356653,0.020719283147217,2.5235573234319135,-0.12840752799120186,0.35125757257651513,0.49740750765538977,0.0,0.7596114836097291,0.5774767195851137,0.0,0.5490804158409218,0.568671909788947,0.0,0.46686394362089584,0.5344108553422169,0.0,0
2019-12-25,-0.020423909684539443,0.9191754040286344,0.6009483196607436,-0.02044069772559062,0.44885686863780794,0.8383450473135069,-0.12376480248336356,0.1805967508163396,2.76320144456447,-0.16573237249238842,0.37973841204680064,0.432081520450237,0.0,0.7580454341072306,0.5316844045821897,0.0,0.5440153549113151,0.5449704565451142,0.0,0.46778627210912477,0.5272088478140896,0.0,0
2019-12-26,-0.0007389909163518419,0.65194665749381,0.13949149091326993,-0.01390815384332962,0.30705140354052796,1.981546861158898,-0.055810621319755616,0.18238590243056546,2.7669220628684283,-0.1661057988495221,0.37911974809635807,0.3589823560252193,0.0,0.6904283023747837,0.4831098721803966,0.0,0.5439448505314067,0.5194887425316879,0.0,0.4637110960627783,0.5187417113945723,0.0,0
