,crypto_Ethereum_cumret_5d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d
2022-10-22,-25.873687301106635,-471.90202562493164,14.968936173556388,224.60810378096448,-49.04312249281026,10.281354898094005,26.803717276644758,16.368839638305346,39.490438405263234,18.16315988038101,32.26671256957141,23.012851251908177,56.1870616705635,39.12886149633849
2022-10-23,77.93334688767514,-329.6168739150782,57.22583416484915,228.12737307066496,-47.80100659787444,10.379682320645212,37.140323522207204,24.03536124967676,47.62644340380311,23.36526883961348,32.323471085783495,25.460929297023043,56.76846688178746,39.34431756882197
2022-10-24,88.56242600722535,-430.6163593998354,36.264936554630765,328.8893549644,-15.609429802966027,-4.410236372494939,34.0628257415466,26.58318757100141,49.95725744057725,23.60469703802447,30.531611474982125,24.97242534675152,56.543317646144374,38.78974034518451
2022-10-25,255.96373367243314,665.5910598197623,137.6851094989947,946.010450886105,315.08138766519835,26.96578095563845,66.11828074691401,52.81150185426199,76.70379498844862,43.377631841090654,46.376439883031495,37.35611397612069,54.318346364345885,42.11500276872099
2022-10-26,366.7170232147906,-74.72770364175973,182.9581793101397,752.0030577015579,131.09035391025782,51.4122344992918,72.40602166546385,49.10044253476589,88.40799531369358,46.125452548614625,53.796675755119914,41.358005673687444,56.02635118648392,43.82542587664658
2022-10-27,278.53000478761,-114.03235312947457,129.43317783565033,660.259335461924,109.87636305562172,44.58712131983509,92.13546149134235,62.85398164491629,97.48140927245056,51.142707537636355,55.84565032111238,43.03988171649334,55.809101226648764,43.832653213993986
2022-10-28,259.0064952490673,-146.06003287567248,172.6107422963237,566.1455361685055,84.52882862025902,58.39980657900058,91.74709680201939,51.60220122662662,94.48185551340022,46.514003893416735,55.78995648229053,41.33724873632059,53.59924153328392,43.410903399562244
2022-10-29,365.30913493640253,-129.0744946111351,232.51363372419544,457.5884666925401,37.67496927427457,70.62294722167867,82.43963564017135,43.831511752965135,90.27175772612212,43.36854882073334,57.35862565247053,40.578780508772674,54.05550889437046,43.407881482409216
2022-10-30,166.3918819785912,-226.48368321118366,216.36834595820042,474.1563184928991,42.28985093909352,72.68291455698343,76.686922913775,45.590803247462595,94.17453047445491,43.76083675221233,56.75927359866749,40.323009066850815,54.05588347240013,42.95732010858202
2022-10-31,7.698866000879436,-316.8252136353891,191.80932760936724,473.5954605845137,40.89625806726588,71.89060242202665,56.83997325999716,40.03614335888005,97.62214582361646,41.57441160604408,56.91226480394489,39.225457397457994,53.947365350427056,42.370605884512116
2022-11-01,83.01921012171371,-325.51856756330204,185.21786549904147,493.18815570105096,43.831749304435,69.2853884863225,44.941504765982316,32.68938007503836,98.13425904381295,37.71006181381642,56.959778289389654,37.354729986386104,53.943157020725785,41.67084862569988
2022-11-02,-45.72504973897016,-279.0711870896565,109.26184447071121,404.87242326301356,24.698466859197794,57.62199803419797,53.494492301170226,37.80701380076898,106.15668213016167,41.11840480393102,60.24684688005285,39.36554686616679,54.43599078577126,41.938588617594654
2022-11-03,-110.0074506759343,-258.2248732419959,130.7883714500487,403.4097550830059,24.49325524140507,57.81776443963158,33.91110712881663,32.77039037277474,104.05607479136884,37.35433967851116,60.24545304728448,37.461877503366416,54.39124135682014,41.26326442679778
2022-11-04,65.9878313737218,-341.14128389197924,119.04568649993912,303.2051548064515,-20.51195782325656,88.85547293112967,73.43235974042511,54.01416097605548,98.86574211052594,47.49287275152189,64.59705380814532,42.77625222887569,56.043722234017146,43.1497340729297
2022-11-05,67.87274707905031,50.996148904516645,38.71454366314805,371.9821523378671,-15.360717300969338,76.7217448887767,73.24267533605321,48.2688963700417,85.9033120294377,44.59152131667673,65.08758624692817,41.40551355045402,55.6341657770546,42.55384321998714
2022-11-06,-9.316859180557826,46.27067739057006,37.75694030204354,396.7545044264468,-19.193804663454088,57.86511492995145,80.81521830261514,48.46598342859523,86.196511200479,45.68460328222068,67.71815125829535,42.35698469509528,55.41414688707297,42.64811310257541
2022-11-07,62.2268789764977,356.69290419592227,8.453713802064074,384.72752847178305,-16.268873293199935,62.66707433769194,71.76731708623419,39.59637302896425,83.83180880084088,41.37073676954844,67.042117892502,40.371317961018214,55.40938612288633,41.956602958769764
2022-11-08,-273.15806760574833,1439.9629692931019,-196.29167068380033,-697.9555146027044,303.24978621339625,12.536554658061288,154.22053736333447,103.9092046207079,147.2981894270086,86.96912162319548,98.1148546478854,70.63029486444876,63.242815014691665,54.10077833708647
2022-11-09,-790.8425278049625,253.59931620667697,-371.3354479379021,-772.0400911708101,192.28376578019177,-53.63468407284553,162.4182882893508,119.26563220313977,200.62023264503836,110.85736204805887,127.40931213042425,92.72717901661409,73.03341134555579,66.54796997567065
2022-11-10,-443.0173165468427,204.99032789250933,-192.18262284930728,-343.2092432460228,141.7118584782338,-0.12919885578485554,259.01850711459355,192.95274377169073,257.591393589261,147.15027405641118,146.81118818354784,112.16531620688046,80.89742524362683,75.25061534908622
2022-11-11,-393.15294003912015,217.98387515636767,-206.1810510582704,-321.2877373623498,139.23377801494075,-7.255435639345885,260.6450133603519,157.55571903170434,256.9427531481292,133.15813471847423,146.77800380753604,106.69084875901822,80.7734469108877,74.01812974524854
2022-11-12,-438.0016407093474,231.50116891475264,-192.5054637278781,-262.1599557365724,138.188465290367,-28.810922853311144,258.59442947342194,128.92536929040472,256.49655223558074,120.52470309868748,146.1230982267206,101.62211605430733,79.4068544259948,72.93802388757886
2022-11-13,-170.9476464975599,253.4206014436163,-227.51069295717454,-246.78984086460315,134.0544414990641,-33.475951286140656,229.50085179479208,105.48914873911295,255.43627244118693,109.10981292231763,146.39164729476917,96.81652110642803,79.17115336573265,71.89396528208286
2022-11-14,237.72446299979993,495.3121832099317,-283.3565752808144,-243.87858314941613,170.5707924778191,-56.868603057731825,147.15505685728405,88.94135265424055,244.7732275411003,100.14342838206841,141.54859647769104,92.6685961803213,76.6134127855254,70.845523845153
2022-11-15,-73.55591716732312,453.0734627300182,-264.63504213796114,-229.09332465806892,206.0784469033485,-78.19191561615153,34.95003696139262,73.28653596093737,246.14468881483486,91.14353100520778,137.6199612035557,88.3871210041405,76.48506176555814,69.72393017359907
2022-11-16,-112.52486660964003,455.6406095251173,-259.0534292854452,-234.63422650888205,208.16232014234956,-76.59152892082459,39.27658898669571,62.1134497147765,246.04978114394194,83.0067839595637,137.4933445143364,84.39485428562692,76.45856736727526,68.78172135327546
