,BTC-USD_price,ETH-USD_price,BNB-USD_price,ADA-USD_price,SOL-USD_price
2024-06-26,60811.27734375,3369.477294921875,572.4017944335938,0.3847500085830688,136.60914611816406
2024-06-27,61604.80078125,3444.800537109375,580.7982788085938,0.3907009959220886,149.44837951660156
2024-06-28,60320.13671875,3373.635986328125,566.4644775390625,0.3854260146617889,139.70339965820312
2024-06-29,60887.37890625,3372.9677734375,569.127685546875,0.3839649856090545,140.01014709472656
2024-06-30,62678.29296875,3432.88916015625,581.7711181640625,0.392192006111145,146.49249267578125
2024-07-01,62851.98046875,3440.341552734375,576.6869506835938,0.4029070138931274,146.59506225585938
2024-07-02,62029.015625,3416.354736328125,578.9810791015625,0.4177750051021576,153.7004852294922
2024-07-03,60173.921875,3292.916748046875,556.5777587890625,0.4067380130290985,140.73141479492188
2024-07-04,56977.703125,3054.52197265625,513.9945068359375,0.3628590106964111,127.55081939697266
2024-07-05,56662.375,2981.5986328125,497.9958190917969,0.3498849868774414,134.3693389892578
2024-07-06,58303.5390625,3069.3779296875,527.6743774414062,0.3712210059165954,143.24118041992188
2024-07-07,55849.109375,2929.38720703125,490.6131286621094,0.3466179966926574,131.7740936279297
2024-07-08,56705.09765625,3018.73193359375,510.6142578125,0.3690069913864136,139.4636993408203
2024-07-09,58009.2265625,3064.032958984375,516.568115234375,0.375328004360199,141.34844970703125
2024-07-10,57742.49609375,3102.21875,524.5165405273438,0.3888350129127502,141.97479248046875
2024-07-11,57344.9140625,3100.330810546875,525.1380615234375,0.3958170115947723,135.8832244873047
2024-07-12,57899.46484375,3134.15869140625,533.75732421875,0.4165239930152893,139.52801513671875
2024-07-13,59231.953125,3177.19873046875,532.3488159179688,0.441415011882782,141.9249725341797
2024-07-14,60787.79296875,3244.0791015625,544.8187255859375,0.4323480129241943,147.622314453125
2024-07-15,64870.15234375,3489.552734375,586.1410522460938,0.4455820024013519,159.93397521972656
2024-07-16,65097.1484375,3443.513427734375,576.583984375,0.4381889998912811,160.5518798828125
2024-07-17,64118.79296875,3388.75244140625,568.9127197265625,0.4367479979991913,155.5841064453125
2024-07-18,63974.06640625,3426.258544921875,571.9515380859375,0.423905998468399,159.07241821289062
2024-07-19,66710.15625,3505.73486328125,593.7021484375,0.4390339851379394,169.1858673095703
