,mean_car,median_car,std_car,min_car,max_car,positive_events,negative_events,total_events
stocks_OIL_exp_vol_20d,-0.008049000982873911,-0.03974929443121583,0.08543125263657082,-0.1011308714131537,0.1663921998829186,2.0,5.0,7.0
stocks_OIL_realized_vol_60d,-0.009233191973399047,-0.01297750846963,0.022079398853898227,-0.04527040736585264,0.027716790705928432,2.0,5.0,7.0
stocks_OIL_exp_vol_60d,-0.01838918673684225,-0.026419652379624854,0.029814124811384554,-0.05166555251090242,0.041895137035487015,1.0,6.0,7.0
crypto_Bitcoin_realized_vol_60d,0.036841535060680705,-0.0015031633685813773,0.10385205921229752,-0.060480781931613305,0.18521730463518657,2.0,5.0,7.0
crypto_Ethereum_realized_vol_5d,0.03671305939214826,0.03418614773599051,0.030315067668352923,0.0012278507928822867,0.07172878627487234,6.0,0.0,6.0
crypto_Ethereum_exp_vol_5d,0.019080655730246258,-0.005949165920673058,0.04706176726096894,-0.036412001479655454,0.0841278797691296,3.0,4.0,7.0
crypto_Ethereum_realized_vol_10d,-0.0014270462386216395,-0.004893913060246741,0.03727126787574675,-0.037183402738524204,0.06609931583314592,3.0,4.0,7.0
crypto_Ethereum_exp_vol_10d,0.029325937251988714,0.006902447617551703,0.08331526314197461,-0.03797056336171204,0.21264659089941929,5.0,2.0,7.0
crypto_Ethereum_realized_vol_20d,0.003167788733289202,-0.002551856026408032,0.044384034681045355,-0.06884260549174451,0.0824155360480659,2.0,5.0,7.0
crypto_Ethereum_exp_vol_20d,0.005951727133457545,-0.0025422414708609654,0.03839233990114049,-0.03315294833627082,0.0854592707376053,3.0,4.0,7.0
crypto_Ethereum_realized_vol_60d,-0.01600196668213785,-0.01803048345295333,0.019850833746023207,-0.05187811740690449,0.008153832161910379,1.0,6.0,7.0
crypto_Ethereum_exp_vol_60d,-0.0012061844981512359,0.001259610455548503,0.013749318641317091,-0.021165103534408026,0.023528322995010155,4.0,3.0,7.0
crypto_Binance_Coin_realized_vol_10d,0.018061686382568724,0.01490410600511482,0.05001936506522322,-0.04101519106878495,0.0838064342220098,4.0,3.0,7.0
crypto_Binance_Coin_exp_vol_10d,0.0599049996250341,0.017190783650301737,0.11240910363092578,-0.05794212254747977,0.19993540235031432,4.0,2.0,6.0
crypto_Binance_Coin_realized_vol_20d,0.020026320769964117,-0.0017825685052791779,0.03637863261419763,-0.014092454236271729,0.08907094161632659,3.0,4.0,7.0
crypto_Binance_Coin_exp_vol_20d,0.027840698805414572,0.027505590183795368,0.05374191295081741,-0.03152193904815863,0.12785479205517786,4.0,3.0,7.0
