,alpha,beta,residual_std,r_squared,n_observations
volatility_VIX_ETN_cumret_5d,0.0,1.0,0.05142584786932279,0.1,12.0
volatility_VIX_ETN_skewness_10d,0.0,1.0,0.04771695057725378,0.1,18.0
volatility_VIX_ETN_kurtosis_10d,0.0,1.0,0.0468250005891837,0.1,17.0
volatility_VIX_ETN_cumret_10d,0.0,1.0,0.05327617826602236,0.1,18.0
volatility_VIX_ETN_skewness_20d,-0.03913319975311619,0.0305096718463623,0.09553632649686639,0.001657579782851637,28.0
volatility_VIX_ETN_kurtosis_20d,0.0,1.0,0.03736766158735919,0.1,21.0
volatility_VIX_ETN_cumret_20d,0.0,1.0,0.04479431523961715,0.1,18.0
volatility_Ultra_VIX_Short_Term_cumret_1d,0.0,1.0,0.05621679435699064,0.1,9.0
volatility_Ultra_VIX_Short_Term_skewness_5d,0.0,1.0,0.04609273021059831,0.1,16.0
volatility_Ultra_VIX_Short_Term_kurtosis_5d,0.0,1.0,0.04527009440810315,0.1,15.0
volatility_Ultra_VIX_Short_Term_cumret_5d,0.0,1.0,0.052033074346046516,0.1,14.0
volatility_Ultra_VIX_Short_Term_skewness_10d,0.0,1.0,0.047879661589274036,0.1,18.0
volatility_Ultra_VIX_Short_Term_kurtosis_10d,0.0,1.0,0.04605309576952497,0.1,18.0
volatility_Ultra_VIX_Short_Term_cumret_10d,0.0,1.0,0.05422612192905201,0.1,18.0
volatility_Ultra_VIX_Short_Term_skewness_20d,-0.037791546650440135,-0.0472453172420773,0.09219576749623162,0.003934836211411219,27.0
volatility_Ultra_VIX_Short_Term_kurtosis_20d,0.0,1.0,0.03771406248379486,0.1,23.0
volatility_Ultra_VIX_Short_Term_cumret_20d,0.0,1.0,0.045105535516090665,0.1,19.0
fixed_income_Treasury_10Y_Yield_cumret_1d,0.0,1.0,0.05069780104295113,0.1,5.0
fixed_income_Treasury_10Y_Yield_skewness_5d,0.0,1.0,0.04711917385856443,0.1,13.0
fixed_income_Treasury_10Y_Yield_kurtosis_5d,0.0,1.0,0.04671685065538312,0.1,14.0
fixed_income_Treasury_10Y_Yield_cumret_5d,0.0,1.0,0.05378265574256664,0.1,8.0
